Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52,Week-53
0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,4.0,5.0,2.0,1.0,12.0,13.0,16.0,14.0,21.0,24.0,19.0,7.0,20.0,17.0,18.0,15.0,16.0,16.0,22.0,14.0,5.0,13.0,16.0,13.0,10.0,13.0,17.0,6.0,5.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,23.0,29.0,4.0,36.0,28.0,32.0,24.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30.0,0.0,43.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,43.0,35.0,12.0,43.0,35.0,2.0
0.0,0.0,4.0,4.0,1.0,1.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,7.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,2.0,0.0
6.0,17.0,11.0,16.0,7.0,19.0,12.0,14.0,12.0,7.0,11.0,15.0,34.0,14.0,25.0,38.0,23.0,14.0,13.0,17.0,10.0,19.0,5.0,12.0,16.0,23.0,14.0,15.0,13.0,18.0,14.0,6.0,12.0,7.0,13.0,9.0,22.0,17.0,12.0,10.0,5.0,13.0,9.0,10.0,5.0,14.0,14.0,14.0,8.0,6.0,17.0,10.0,8.0
22.0,31.0,31.0,25.0,20.0,26.0,30.0,27.0,38.0,27.0,36.0,46.0,32.0,43.0,50.0,29.0,38.0,44.0,15.0,42.0,46.0,39.0,16.0,22.0,36.0,53.0,27.0,21.0,37.0,27.0,23.0,19.0,32.0,36.0,34.0,29.0,50.0,41.0,33.0,28.0,19.0,57.0,22.0,44.0,20.0,20.0,34.0,34.0,12.0,30.0,30.0,36.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,13.0,2.0,7.0,24.0,22.0,27.0,17.0,19.0,34.0,37.0,6.0,12.0,18.0,19.0,28.0,18.0,31.0,34.0,29.0,13.0,22.0,22.0,9.0,15.0,6.0,6.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,49.0,133.0,369.0,58.0,157.0,226.0,70.0,434.0,77.0,210.0,535.0,39.0,1237.0,38.0,91.0,325.0,221.0,29.0,514.0,414.0,147.0,9.0,36.0,46.0,274.0,181.0,265.0,426.0,168.0,112.0,151.0,136.0,34.0,71.0,828.0,140.0,97.0,91.0,40.0,2.0,59.0,215.0,45.0,5.0,11.0,319.0,157.0,64.0,16.0,96.0,193.0,7.0
17.0,39.0,58.0,66.0,131.0,213.0,57.0,48.0,51.0,63.0,135.0,154.0,83.0,167.0,42.0,113.0,29.0,78.0,16.0,32.0,33.0,42.0,20.0,63.0,29.0,35.0,16.0,17.0,29.0,32.0,52.0,29.0,53.0,113.0,46.0,81.0,151.0,25.0,133.0,39.0,46.0,23.0,51.0,87.0,43.0,31.0,43.0,88.0,36.0,15.0,53.0,100.0,15.0
1.0,19.0,33.0,6.0,544.0,228.0,307.0,27.0,22.0,202.0,86.0,390.0,123.0,375.0,125.0,6359.0,1188.0,130.0,3.0,716.0,359.0,150.0,0.0,692.0,298.0,201.0,330.0,7.0,248.0,159.0,4068.0,2.0,1659.0,96.0,99.0,0.0,16.0,213.0,1840.0,8.0,2.0,683.0,1654.0,129.0,0.0,32.0,229.0,291.0,2.0,0.0,128.0,79.0,3252.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,31.0,19.0,65.0,30.0,25.0,75.0,98.0,44.0,55.0,34.0,32.0,140.0,54.0,91.0,13.0,15.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,3.0,13.0,13.0,17.0,22.0,4.0,29.0,18.0,5.0,12.0,17.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,11.0,10.0,0.0,1.0,16.0,4.0,11.0,0.0,2.0,13.0,3.0,0.0,3.0,8.0,0.0,0.0,2.0,5.0,9.0,4.0,0.0,10.0,28.0,19.0,0.0,15.0,22.0,14.0,6.0,2.0,10.0,3.0,8.0
108.0,398.0,145.0,160.0,480.0,78.0,208.0,68.0,195.0,22.0,123.0,136.0,546.0,56.0,6.0,59.0,33.0,92.0,0.0,40.0,18.0,17.0,0.0,5.0,24.0,30.0,0.0,3.0,14.0,8.0,45.0,0.0,10.0,19.0,26.0,0.0,3.0,7.0,124.0,6.0,3.0,57.0,364.0,9.0,12.0,25.0,138.0,32.0,1.0,85.0,40.0,36.0,642.0
