Week-1,Week-2,Week-3,Week-4,Week-5,Week-6,Week-7,Week-8,Week-9,Week-10,Week-11,Week-12,Week-13,Week-14,Week-15,Week-16,Week-17,Week-18,Week-19,Week-20,Week-21,Week-22,Week-23,Week-24,Week-25,Week-26,Week-27,Week-28,Week-29,Week-30,Week-31,Week-32,Week-33,Week-34,Week-35,Week-36,Week-37,Week-38,Week-39,Week-40,Week-41,Week-42,Week-43,Week-44,Week-45,Week-46,Week-47,Week-48,Week-49,Week-50,Week-51,Week-52
9,11,7,6,5,4,4,5,0,2,7,3,4,1,3,0,4,2,3,0,0,1,2,4,0,1,2,0,0,2,0,2,0,0,2,0,2,5,6,4,2,4,2,2,3,4,7,2,6,1,9,10
2,4,4,1,2,2,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,4,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,17,28,31,23,18,30,36,25,24,15,24,41,26,22,28,70,30,23,26,28,28,20,15,26,19,21,18,13,29,19,22,15,17,22,17,16,15,16,30,19,18,19,23,24,13,34,20,21,32,17,54
0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,1,5,1,3,0,1,1,2,1,2,2,0,2,2,2,3,1,1,3,2,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,5,0,3,1,0,1,0,0,1,0,0,0,0,0,0
3,2,1,2,1,0,2,1,3,2,0,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,3,1,1,1,1,3,2,1
1,2,1,2,3,3,0,3,4,1,2,2,4,0,2,2,7,7,1,4,7,3,3,1,7,4,12,12,16,6,7,7,8,14,6,4,6,3,3,4,0,1,2,2,0,1,2,0,3,3,2,3
25,8,12,10,18,17,24,15,12,14,19,17,25,20,22,11,34,24,13,17,20,12,10,13,15,9,10,8,14,8,15,13,12,13,16,13,12,14,11,19,20,15,20,16,12,17,20,17,19,11,13,27
1,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,1,1,0
0,0,0,0,0,2,0,0,1,4,4,1,3,5,1,3,4,4,10,2,9,0,0,3,7,7,4,4,4,7,2,1,0,2,1,3,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
5,8,1,2,1,3,0,1,1,4,3,4,7,7,4,7,1,5,4,3,8,5,5,4,6,2,1,5,14,11,12,6,3,5,5,7,4,3,4,2,1,3,2,5,2,2,2,2,0,2,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,3,1,7,6,6,3,16,6,6,4,6,9,5,1,0,7,4,1,0,1,0,0,0,0,0
14,8,9,15,8,14,1,5,4,9,7,8,9,2,12,13,12,7,5,5,7,4,6,4,4,8,8,1,7,4,9,4,3,3,4,6,2,0,3,4,1,1,2,9,1,5,3,8,4,17,7,16
31,24,25,36,43,27,41,51,21,38,34,28,45,51,41,33,106,50,41,32,34,23,19,18,20,11,25,26,16,23,23,33,24,18,17,29,20,18,29,34,31,19,29,39,14,16,36,29,38,34,45,66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,5,4,10,0,1,1,10,2,3,0,1,2,3,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8,8,17,7,12,8,9,10,4,12,10,4,3,1,5,3,5,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,3,6,14,5,4,6,5,8,21,9,10,9,20,16
46,25,21,22,24,30,64,32,22,29,34,19,17,19,15,15,24,28,20,23,50,17,14,32,22,13,17,14,16,18,23,29,21,17,20,31,41,20,24,37,44,30,27,48,38,42,52,27,35,37,31,78
0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,2,2,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0
13,16,9,6,9,12,9,9,15,14,11,12,11,3,10,6,13,9,7,4,2,5,5,9,3,1,4,1,1,3,4,2,0,0,0,1,0,2,2,3,13,9,4,12,15,11,8,5,8,4,8,27
0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,4,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,4,2,3,2,3,1,0,2,0,1,0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,2,0
8,4,5,0,2,4,4,5,3,3,3,2,5,5,0,4,1,5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,3,3,1,8
0,0,0,0,0,0,1,0,0,0,1,0,1,6,8,3,15,13,5,13,44,7,13,4,5,8,5,5,5,5,3,2,3,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,8,8,13,7,9,3,3,12,4,9,7,9,0,6,8,2,5,5,3,0,2,4,4,5,8,5,7,12,4,9,3,6,13,6,10,11,11,9,1,9,7,11,8,8,7,7,8,10,22,23
7,3,6,2,0,7,5,2,0,1,1,2,2,0,3,0,1,2,3,2,0,5,1,3,3,9,2,0,0,5,0,3,0,3,0,2,2,3,1,6,7,3,1,5,8,6,1,2,3,2,8,13
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,39,64,55,58,60,57,47,51,42,39,50,47,32,50,32,64,41,37,22,29,29,34,24,28,39,38,34,26,29,24,28,33,41,22,41,52,45,49,58,61,51,52,64,55,57,73,63,64,66,79,147
5,3,1,10,4,1,6,4,5,4,7,5,10,6,15,9,13,7,9,0,3,3,9,0,4,1,2,0,0,3,2,2,3,2,1,1,3,4,6,6,1,3,5,1,3,1,3,2,0,1,4,4
0,2,0,1,1,0,0,2,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,2,3,0,0,0,2,9,1,2,2,1,1,2,0,1,1,0,0,1,4,0,1,0,1,1
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,2,2,0,3,3,1,0,0,1,1,1,1,1,5,0,0,1,0,1,0,1,2,0,1,0,0,1
12,14,13,10,13,7,10,14,13,13,6,1,1,1,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,9,1,10,4,4,10,5,4,7,6,15,18,8,15,31,12
24,27,23,13,7,12,13,13,23,18,13,28,18,21,11,12,46,27,14,21,22,32,12,22,25,18,19,23,14,15,15,27,15,26,25,7,24,19,13,20,14,3,12,15,8,9,16,12,13,13,15,44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,1,3,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,4,2,2,2,6,9,3,5,4,1,3,2,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,2,0,1,0,1,0,3,1,1
0,1,0,1,0,0,1,0,0,1,1,2,18,9,9,10,24,17,14,18,10,15,14,19,15,22,10,13,10,11,11,10,14,14,6,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,4,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,9,1,1,4,2,4,2,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2,3,2,4,1,5,2,1,4,3,13,21,7,15,19,7,6,5,10,5,4,4,5,4,2,4,2,0,8,3,7,1,1,9,0,3,1,2,3,6,2,5,4,2,0,1,0,3,2,1
4,2,6,8,4,0,3,6,5,4,4,1,3,3,2,4,8,1,1,0,0,1,2,3,0,3,1,4,0,7,1,2,0,1,6,2,2,2,6,8,3,2,9,2,3,0,3,3,0,3,4,4
2,1,0,1,3,3,3,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,3,3,1,2,2,6,6,6,5,1,0,2
9,3,7,6,7,9,10,5,6,11,7,3,15,11,15,11,23,10,9,5,11,7,7,4,4,8,12,3,4,5,6,3,2,3,4,3,3,6,7,8,7,12,7,7,3,4,9,6,5,3,5,13
12,3,5,8,3,3,11,3,3,7,1,6,2,2,3,2,1,2,2,0,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4,5,10,15,7,3,16,11,14
19,8,9,2,13,6,6,3,8,1,10,8,6,0,4,4,10,8,4,4,1,5,1,2,3,3,2,2,1,0,4,2,1,3,2,1,1,0,0,5,5,4,1,6,7,12,11,4,11,4,8,15
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,1,0,1,0,3,0,0,1,7,0,2,0,1,0,0,1,0,2,1,0,1,1,1,0,0,2,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,2,0,0,1,0,1,0,2,5,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8,8,9,7,7,5,9,13,11,7,4,0,2,2,0,2,3,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,2,7,10,25,9,17,12,47
1,2,2,1,4,4,1,1,1,0,0,1,4,4,3,3,4,3,3,6,3,0,1,8,0,0,1,2,2,0,1,2,1,0,0,0,1,1,1,2,6,0,2,0,0,6,0,2,0,1,0,6
2,9,0,1,0,0,0,0,1,1,3,1,0,0,0,1,0,0,0,1,0,0,0,5,1,9,1,6,8,12,12,8,11,17,12,19,12,8,12,8,7,3,7,5,1,0,8,3,4,1,3,2
0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,1,2,5,1,1,3,1,1,1,0,1,0,0,0,0,1,0,4,1,2,2,7,2,3,2,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,2,1,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0
3,4,3,1,3,3,4,7,4,2,0,3,2,0,1,3,2,6,0,4,2,0,1,3,3,3,3,1,0,1,1,2,3,5,3,1,4,0,0,2,0,2,0,1,1,0,1,0,1,1,2,0
1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,5,0,2,6,6,5,5,5,7,6,4,5,4,6,3,0,5,1,1,3,4,4,2,1,2,4,3,3,9,2,1,0,1,0,1,0
14,10,6,8,11,10,14,15,10,13,15,9,8,1,6,7,4,2,1,2,2,0,0,1,0,4,1,2,3,2,4,12,9,7,14,8,15,7,7,9,12,26,10,15,10,7,7,10,7,11,9,14
